"filename", "language", "Python", "comment", "blank", "total"
"/home/wenzihao/Desktop/WandCalibration/extrinsicParameter/worldCoord/enhanced_labelme.py", "Python", 48, 1, -1, 48
"/home/wenzihao/Desktop/WandCalibration/extrinsicParameter/worldCoord/get_cam0_extrinsic.py", "Python", 6, -1, 0, 5
"Total", "-", 54, 0, -1, 53
